name,slug,value,date_of_information,ranking,region
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0","2015 est.","196","Central America and the Caribbean"
"Samoa","samoa","0","2017 est.","197","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","0","2017 est.","198","Africa"
"Seychelles","seychelles","0","2015 est.","199","Africa"
"Sierra Leone","sierra-leone","0","2017 est.","200","Africa"
"Sint Maarten","sint-maarten","0","2015 est.","201","Central America and the Caribbean"
"Slovenia","slovenia","0","2017 est.","202","Europe"
"Solomon Islands","solomon-islands","0","2015 est.","203","Australia and Oceania"
"Somalia","somalia","0","2015 est.","204","Africa"
"South Sudan","south-sudan","0","2017 est.","205","Africa"
"Tanzania","tanzania","0","2015 est.","206","Africa"
"Timor-Leste","timor-leste","0","2015 est.","207","East and Southeast Asia"
"Togo","togo","0","2015 est.","208","Africa"
"Tonga","tonga","0","2017 est.","209","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","0","2015 est.","210","Central America and the Caribbean"
"Tuvalu","tuvalu","0","2014 est.","211","Australia and Oceania"
"Uganda","uganda","0","2015 est.","212","Africa"
"Vanuatu","vanuatu","0","2015 est.","213","Australia and Oceania"
"Virgin Islands","virgin-islands","0","2015 est.","214","Central America and the Caribbean"
"West Bank","west-bank","0","2015 est.","215","Middle East"
"Zimbabwe","zimbabwe","0","2015 est.","216","Africa"
